Date,Time,Day Name,Number of Payments,Number of Violations,Violation Perc.,Traffic,Facility,Peak Hour,Revenues Class
1/1/2025,21:00,Wednesday,1218,39,3.10%,1257,Outerbridge,No,Low
1/1/2025,1:00,Wednesday,1242,49,3.80%,1291,Goethals,No,Low
1/1/2025,10:00,Wednesday,1129,33,2.84%,1162,Outerbridge,Yes,Low
1/1/2025,22:00,Wednesday,1336,69,4.91%,1405,Holland,No,Low
1/1/2025,9:00,Wednesday,1123,39,3.36%,1162,Holland,Yes,Low
1/1/2025,22:00,Wednesday,1179,56,4.53%,1235,Lincoln,No,Low
1/1/2025,2:00,Wednesday,1313,86,6.15%,1399,GWB,No,Low
1/1/2025,9:00,Wednesday,1005,45,4.29%,1050,Goethals,Yes,Low
1/1/2025,6:00,Wednesday,983,52,5.02%,1035,Lincoln,Yes,Low
1/1/2025,8:00,Wednesday,1055,67,5.97%,1122,GWB,Yes,Low
1/1/2025,1:00,Wednesday,1128,58,4.89%,1186,Lincoln,No,Low
1/1/2025,2:00,Wednesday,1116,62,5.26%,1178,Lincoln,No,Low
1/1/2025,2:00,Wednesday,1069,64,5.65%,1133,Goethals,No,Low
1/1/2025,6:00,Wednesday,978,61,5.87%,1039,Holland,Yes,Low
1/1/2025,22:00,Wednesday,953,31,3.15%,984,Outerbridge,No,Low
1/1/2025,7:00,Wednesday,945,60,5.97%,1005,Holland,Yes,Low
1/1/2025,7:00,Wednesday,962,68,6.60%,1030,GWB,Yes,Low
1/1/2025,4:00,Wednesday,1079,68,5.93%,1147,Holland,No,Low
1/1/2025,8:00,Wednesday,786,24,2.96%,810,Goethals,Yes,Low
1/1/2025,7:00,Wednesday,859,35,3.91%,894,Lincoln,Yes,Low
1/1/2025,3:00,Wednesday,1069,72,6.31%,1141,GWB,No,Low
1/1/2025,0:00,Wednesday,1048,70,6.26%,1118,GWB,No,Low
1/1/2025,0:00,Wednesday,1011,21,2.03%,1032,Outerbridge,No,Low
1/1/2025,23:00,Wednesday,872,52,5.63%,924,Lincoln,No,Low
1/1/2025,8:00,Wednesday,877,38,4.15%,915,Holland,Yes,Low
1/1/2025,8:00,Wednesday,815,31,3.66%,846,Lincoln,Yes,Low
1/1/2025,3:00,Wednesday,978,52,5.05%,1030,Lincoln,No,Low
1/1/2025,23:00,Wednesday,1027,61,5.61%,1088,GWB,No,Low
1/1/2025,0:00,Wednesday,1000,61,5.75%,1061,Holland,No,Low
1/1/2025,5:00,Wednesday,988,55,5.27%,1043,Holland,No,Low
1/1/2025,9:00,Wednesday,786,28,3.44%,814,Outerbridge,Yes,Low
1/1/2025,0:00,Wednesday,849,50,5.56%,899,Goethals,No,Low
1/1/2025,0:00,Wednesday,875,43,4.68%,918,Lincoln,No,Low
1/1/2025,7:00,Wednesday,712,34,4.56%,746,Goethals,Yes,Low
1/1/2025,6:00,Wednesday,677,47,6.49%,724,Goethals,Yes,Low
1/1/2025,2:00,Wednesday,862,22,2.49%,884,Outerbridge,No,Low
1/1/2025,3:00,Wednesday,765,49,6.02%,814,Goethals,No,Low
1/1/2025,23:00,Wednesday,881,56,5.98%,937,Holland,No,Low
1/1/2025,5:00,Wednesday,858,70,7.54%,928,GWB,No,Low
1/1/2025,23:00,Wednesday,658,26,3.80%,684,Outerbridge,No,Low
1/1/2025,5:00,Wednesday,787,46,5.52%,833,Lincoln,No,Low
1/1/2025,4:00,Wednesday,823,49,5.62%,872,GWB,No,Low
1/1/2025,4:00,Wednesday,721,50,6.49%,771,Lincoln,No,Low
1/1/2025,4:00,Wednesday,677,39,5.45%,716,Goethals,No,Low
1/1/2025,8:00,Wednesday,524,19,3.50%,543,Outerbridge,Yes,Low
1/1/2025,17:00,Wednesday,582,19,3.16%,601,Bayonne,Yes,Low
1/1/2025,5:00,Wednesday,557,37,6.23%,594,Goethals,No,Low
1/1/2025,6:00,Wednesday,500,12,2.34%,512,Outerbridge,Yes,Low
1/1/2025,18:00,Wednesday,490,20,3.92%,510,Bayonne,Yes,Low
1/1/2025,7:00,Wednesday,438,20,4.37%,458,Outerbridge,Yes,Low
1/1/2025,16:00,Wednesday,448,25,5.29%,473,Bayonne,Yes,Low
1/1/2025,3:00,Wednesday,453,17,3.62%,470,Outerbridge,No,Low
1/1/2025,15:00,Wednesday,453,22,4.63%,475,Bayonne,No,Low
1/1/2025,19:00,Wednesday,387,24,5.84%,411,Bayonne,Yes,Low
1/1/2025,5:00,Wednesday,351,10,2.77%,361,Outerbridge,No,Low
1/1/2025,14:00,Wednesday,412,17,3.96%,429,Bayonne,No,Low
1/1/2025,4:00,Wednesday,334,13,3.75%,347,Outerbridge,No,Low
1/1/2025,13:00,Wednesday,378,17,4.30%,395,Bayonne,No,Low
1/1/2025,20:00,Wednesday,266,12,4.32%,278,Bayonne,Yes,Low
1/1/2025,12:00,Wednesday,304,13,4.10%,317,Bayonne,No,Low
1/1/2025,21:00,Wednesday,232,19,7.57%,251,Bayonne,No,Low
1/1/2025,1:00,Wednesday,259,19,6.83%,278,Bayonne,No,Low
1/1/2025,11:00,Wednesday,244,10,3.94%,254,Bayonne,No,Low
1/1/2025,22:00,Wednesday,208,13,5.88%,221,Bayonne,No,Low
1/1/2025,10:00,Wednesday,174,9,4.92%,183,Bayonne,Yes,Low
1/1/2025,3:00,Wednesday,190,8,4.04%,198,Bayonne,No,Low
1/1/2025,2:00,Wednesday,181,11,5.73%,192,Bayonne,No,Low
1/1/2025,9:00,Wednesday,139,8,5.44%,147,Bayonne,Yes,Low
1/1/2025,0:00,Wednesday,160,12,6.98%,172,Bayonne,No,Low
1/1/2025,8:00,Wednesday,110,6,5.17%,116,Bayonne,Yes,Low
1/1/2025,7:00,Wednesday,119,3,2.46%,122,Bayonne,Yes,Low
1/1/2025,23:00,Wednesday,126,10,7.35%,136,Bayonne,No,Low
1/1/2025,4:00,Wednesday,122,4,3.17%,126,Bayonne,No,Low
1/1/2025,6:00,Wednesday,89,7,7.29%,96,Bayonne,Yes,Low
1/1/2025,5:00,Wednesday,85,11,11.46%,96,Bayonne,No,Low
1/2/2025,6:00,Thursday,4553,172,3.64%,4725,GWB,Yes,High
1/2/2025,5:00,Thursday,2961,109,3.55%,3070,GWB,No,High
1/2/2025,10:00,Thursday,3862,147,3.67%,4009,GWB,Yes,High
1/2/2025,9:00,Thursday,3654,152,3.99%,3806,GWB,Yes,High
1/2/2025,7:00,Thursday,3747,167,4.27%,3914,GWB,Yes,High
1/2/2025,8:00,Thursday,3490,112,3.11%,3602,GWB,Yes,High
1/2/2025,12:00,Thursday,4084,140,3.31%,4224,GWB,No,High
1/2/2025,11:00,Thursday,3756,130,3.35%,3886,GWB,No,High
1/2/2025,13:00,Thursday,3982,128,3.11%,4110,GWB,No,High
1/2/2025,18:00,Thursday,3811,160,4.03%,3971,GWB,Yes,High
1/2/2025,16:00,Thursday,4077,151,3.57%,4228,GWB,Yes,High
1/2/2025,17:00,Thursday,4125,181,4.20%,4306,GWB,Yes,High
1/2/2025,14:00,Thursday,3689,134,3.51%,3823,GWB,No,High
1/2/2025,15:00,Thursday,4173,151,3.49%,4324,GWB,No,High
1/2/2025,6:00,Thursday,4009,141,3.40%,4150,Lincoln,Yes,High
1/2/2025,19:00,Thursday,2904,143,4.69%,3047,GWB,Yes,High
1/2/2025,20:00,Thursday,2592,127,4.67%,2719,GWB,Yes,High
1/2/2025,4:00,Thursday,1292,58,4.30%,1350,GWB,No,High
1/2/2025,6:00,Thursday,4289,210,4.67%,4499,GWB,Yes,High
1/2/2025,7:00,Thursday,3292,104,3.06%,3396,Lincoln,Yes,High
1/2/2025,6:00,Thursday,2734,147,5.10%,2881,Goethals,Yes,High
1/2/2025,12:00,Thursday,2628,93,3.42%,2721,Goethals,No,High
1/2/2025,21:00,Thursday,2276,116,4.85%,2392,GWB,No,High
1/2/2025,10:00,Thursday,2270,112,4.70%,2382,Goethals,Yes,High
1/2/2025,9:00,Thursday,2335,87,3.59%,2422,Goethals,Yes,High
1/2/2025,8:00,Thursday,2422,103,4.08%,2525,Goethals,Yes,High
1/2/2025,8:00,Thursday,3032,89,2.85%,3121,Lincoln,Yes,High
1/2/2025,13:00,Thursday,2649,105,3.81%,2754,Goethals,No,High
1/2/2025,17:00,Thursday,3098,100,3.13%,3198,Goethals,Yes,High
1/2/2025,7:00,Thursday,2169,113,4.95%,2282,Goethals,Yes,High
1/2/2025,18:00,Thursday,3014,108,3.46%,3122,Goethals,Yes,High
1/2/2025,14:00,Thursday,2727,101,3.57%,2828,Goethals,No,High
1/2/2025,16:00,Thursday,2885,99,3.32%,2984,Goethals,Yes,High
1/2/2025,5:00,Thursday,2575,81,3.05%,2656,Lincoln,No,High
1/2/2025,11:00,Thursday,2271,82,3.48%,2353,Goethals,No,High
1/2/2025,7:00,Thursday,3328,180,5.13%,3508,GWB,Yes,High
1/2/2025,15:00,Thursday,2758,99,3.47%,2857,Goethals,No,High
1/2/2025,5:00,Thursday,3613,138,3.68%,3751,GWB,No,High
1/2/2025,9:00,Thursday,3116,135,4.15%,3251,GWB,Yes,High
1/2/2025,6:00,Thursday,2677,83,3.01%,2760,Outerbridge,Yes,High
1/2/2025,10:00,Thursday,3077,125,3.90%,3202,GWB,Yes,High
1/2/2025,18:00,Thursday,3069,144,4.48%,3213,GWB,Yes,High
1/2/2025,8:00,Thursday,3031,146,4.60%,3177,GWB,Yes,High
1/2/2025,23:00,Thursday,931,36,3.72%,967,GWB,No,High
1/2/2025,9:00,Thursday,2556,70,2.67%,2626,Lincoln,Yes,High
1/2/2025,19:00,Thursday,2338,93,3.83%,2431,Goethals,Yes,High
1/2/2025,17:00,Thursday,2880,145,4.79%,3025,GWB,Yes,High
1/2/2025,7:00,Thursday,2526,79,3.03%,2605,Outerbridge,Yes,High
1/2/2025,16:00,Thursday,2830,148,4.97%,2978,GWB,Yes,High
1/2/2025,10:00,Thursday,2448,75,2.97%,2523,Lincoln,Yes,High
1/2/2025,3:00,Thursday,768,41,5.07%,809,GWB,No,High
1/2/2025,5:00,Thursday,1819,76,4.01%,1895,Goethals,No,High
1/2/2025,14:00,Thursday,3159,134,4.07%,3293,GWB,No,High
1/2/2025,12:00,Thursday,3072,135,4.21%,3207,GWB,No,Medium
1/2/2025,6:00,Thursday,2376,118,4.73%,2494,Holland,Yes,Medium
1/2/2025,2:00,Thursday,738,35,4.53%,773,GWB,No,Medium
1/2/2025,13:00,Thursday,3006,124,3.96%,3130,GWB,No,Medium
1/2/2025,11:00,Thursday,2560,111,4.16%,2671,Lincoln,No,Medium
1/2/2025,17:00,Thursday,2342,58,2.42%,2400,Outerbridge,Yes,Medium
1/2/2025,11:00,Thursday,2910,138,4.53%,3048,GWB,No,Medium
1/2/2025,15:00,Thursday,2811,159,5.35%,2970,GWB,No,Medium
1/2/2025,0:00,Thursday,1224,83,6.35%,1307,GWB,No,Medium
1/2/2025,20:00,Thursday,1850,65,3.39%,1915,Goethals,Yes,Medium
1/2/2025,12:00,Thursday,2427,78,3.11%,2505,Lincoln,No,Medium
1/2/2025,7:00,Thursday,2091,104,4.74%,2195,Holland,Yes,Medium
1/2/2025,10:00,Thursday,1801,45,2.44%,1846,Outerbridge,Yes,Medium
1/2/2025,19:00,Thursday,2336,121,4.92%,2457,GWB,Yes,Medium
1/2/2025,18:00,Thursday,2215,59,2.59%,2274,Outerbridge,Yes,Medium
1/2/2025,5:00,Thursday,2025,61,2.92%,2086,Outerbridge,No,Medium
1/2/2025,20:00,Thursday,2303,116,4.80%,2419,GWB,Yes,Medium
1/2/2025,9:00,Thursday,1863,44,2.31%,1907,Outerbridge,Yes,Medium
1/2/2025,8:00,Thursday,1959,57,2.83%,2016,Outerbridge,Yes,Medium
1/2/2025,16:00,Thursday,2067,45,2.13%,2112,Outerbridge,Yes,Medium
1/2/2025,17:00,Thursday,2136,101,4.51%,2237,Holland,Yes,Medium
1/2/2025,18:00,Thursday,2120,67,3.06%,2187,Holland,Yes,Medium
1/2/2025,16:00,Thursday,1991,60,2.93%,2051,Lincoln,Yes,Medium
1/2/2025,1:00,Thursday,856,46,5.10%,902,GWB,No,Medium
1/2/2025,16:00,Thursday,2068,91,4.21%,2159,Holland,Yes,Medium
1/2/2025,5:00,Thursday,2098,84,3.85%,2182,Holland,No,Medium
1/2/2025,18:00,Thursday,1896,61,3.12%,1957,Lincoln,Yes,Medium
1/2/2025,13:00,Thursday,2155,68,3.06%,2223,Lincoln,No,Medium
1/2/2025,8:00,Thursday,1834,107,5.51%,1941,Holland,Yes,Medium
1/2/2025,9:00,Thursday,1803,92,4.85%,1895,Holland,Yes,Medium
1/2/2025,15:00,Thursday,2045,62,2.94%,2107,Lincoln,No,Medium
1/2/2025,22:00,Thursday,2293,125,5.17%,2418,GWB,No,Medium
1/2/2025,14:00,Thursday,2062,68,3.19%,2130,Lincoln,No,Medium
1/2/2025,15:00,Thursday,2002,54,2.63%,2056,Outerbridge,No,Medium
1/2/2025,17:00,Thursday,1770,52,2.85%,1822,Lincoln,Yes,Medium
1/2/2025,14:00,Thursday,1910,54,2.75%,1964,Outerbridge,No,Medium
1/2/2025,10:00,Thursday,1777,65,3.53%,1842,Holland,Yes,Medium
1/2/2025,11:00,Thursday,1737,49,2.74%,1786,Outerbridge,No,Medium
1/2/2025,15:00,Thursday,2105,89,4.06%,2194,Holland,No,Medium
1/2/2025,13:00,Thursday,1785,47,2.57%,1832,Outerbridge,No,Medium
1/2/2025,12:00,Thursday,1783,53,2.89%,1836,Outerbridge,No,Medium
1/2/2025,21:00,Thursday,1609,70,4.17%,1679,Goethals,No,Medium
1/2/2025,12:00,Thursday,2005,77,3.70%,2082,Holland,No,Medium
1/2/2025,13:00,Thursday,1998,77,3.71%,2075,Holland,No,Medium
1/2/2025,14:00,Thursday,1974,89,4.31%,2063,Holland,No,Medium
1/2/2025,19:00,Thursday,1629,55,3.27%,1684,Outerbridge,Yes,Medium
1/2/2025,22:00,Thursday,1386,56,3.88%,1442,Goethals,No,Medium
1/2/2025,11:00,Thursday,1853,82,4.24%,1935,Holland,No,Medium
1/2/2025,23:00,Thursday,1075,44,3.93%,1119,Goethals,No,Medium
1/2/2025,22:00,Thursday,764,34,4.26%,798,GWB,No,Medium
1/2/2025,19:00,Thursday,1477,70,4.52%,1547,Lincoln,Yes,Medium
1/2/2025,21:00,Thursday,1853,106,5.41%,1959,GWB,No,Medium
1/2/2025,19:00,Thursday,1589,74,4.45%,1663,Holland,Yes,Medium
1/2/2025,20:00,Thursday,1551,71,4.38%,1622,Holland,Yes,Medium
1/2/2025,20:00,Thursday,1322,61,4.41%,1383,Lincoln,Yes,Medium
1/2/2025,4:00,Thursday,757,36,4.54%,793,Goethals,No,Medium
1/2/2025,23:00,Thursday,1741,98,5.33%,1839,GWB,No,Medium
1/2/2025,20:00,Thursday,1327,35,2.57%,1362,Outerbridge,Yes,Medium
1/2/2025,21:00,Thursday,1411,66,4.47%,1477,Lincoln,No,Medium
1/2/2025,4:00,Thursday,839,20,2.33%,859,Outerbridge,No,Medium
1/2/2025,21:00,Thursday,1450,76,4.98%,1526,Holland,No,Medium
1/2/2025,22:00,Thursday,1206,54,4.29%,1260,Lincoln,No,Low
1/2/2025,22:00,Thursday,1377,50,3.50%,1427,Holland,No,Low
1/2/2025,4:00,Thursday,832,30,3.48%,862,Lincoln,No,Low
1/2/2025,21:00,Thursday,1055,42,3.83%,1097,Outerbridge,No,Low
1/2/2025,22:00,Thursday,912,31,3.29%,943,Outerbridge,No,Low
1/2/2025,23:00,Thursday,1027,40,3.75%,1067,Lincoln,No,Low
1/2/2025,3:00,Thursday,405,28,6.47%,433,Goethals,No,Low
1/2/2025,17:00,Thursday,927,26,2.73%,953,Bayonne,Yes,Low
1/2/2025,0:00,Thursday,760,40,5.00%,800,Goethals,No,Low
1/2/2025,4:00,Thursday,1069,44,3.95%,1113,GWB,No,Low
1/2/2025,16:00,Thursday,829,33,3.83%,862,Bayonne,Yes,Low
1/2/2025,2:00,Thursday,382,19,4.74%,401,Goethals,No,Low
1/2/2025,23:00,Thursday,727,17,2.28%,744,Outerbridge,No,Low
1/2/2025,8:00,Thursday,570,28,4.68%,598,Bayonne,Yes,Low
1/2/2025,1:00,Thursday,475,29,5.75%,504,Goethals,No,Low
1/2/2025,4:00,Thursday,779,39,4.77%,818,Holland,No,Low
1/2/2025,18:00,Thursday,687,26,3.65%,713,Bayonne,Yes,Low
1/2/2025,7:00,Thursday,507,24,4.52%,531,Bayonne,Yes,Low
1/2/2025,15:00,Thursday,711,28,3.79%,739,Bayonne,No,Low
1/2/2025,9:00,Thursday,440,18,3.93%,458,Bayonne,Yes,Low
1/2/2025,3:00,Thursday,339,13,3.69%,352,Outerbridge,No,Low
1/2/2025,14:00,Thursday,582,19,3.16%,601,Bayonne,No,Low
1/2/2025,3:00,Thursday,383,17,4.25%,400,Lincoln,No,Low
1/2/2025,0:00,Thursday,557,30,5.11%,587,Lincoln,No,Low
1/2/2025,13:00,Thursday,495,14,2.75%,509,Bayonne,No,Low
1/2/2025,0:00,Thursday,657,41,5.87%,698,Holland,No,Low
1/2/2025,23:00,Thursday,677,47,6.49%,724,Holland,No,Low
1/2/2025,6:00,Thursday,436,22,4.80%,458,Bayonne,Yes,Low
1/2/2025,0:00,Thursday,676,37,5.19%,713,GWB,No,Low
1/2/2025,0:00,Thursday,392,14,3.45%,406,Outerbridge,No,Low
1/2/2025,10:00,Thursday,368,11,2.90%,379,Bayonne,Yes,Low
1/2/2025,11:00,Thursday,411,16,3.75%,427,Bayonne,No,Low
1/2/2025,2:00,Thursday,325,12,3.56%,337,Lincoln,No,Low
1/2/2025,1:00,Thursday,255,4,1.54%,259,Outerbridge,No,Low
1/2/2025,19:00,Thursday,479,16,3.23%,495,Bayonne,Yes,Low
1/2/2025,12:00,Thursday,424,17,3.85%,441,Bayonne,No,Low
1/2/2025,1:00,Thursday,350,19,5.15%,369,Lincoln,No,Low
1/2/2025,20:00,Thursday,377,17,4.31%,394,Bayonne,Yes,Low
1/2/2025,3:00,Thursday,386,23,5.62%,409,Holland,No,Low
1/2/2025,2:00,Thursday,203,11,5.14%,214,Outerbridge,No,Low
1/2/2025,1:00,Thursday,416,21,4.81%,437,Holland,No,Low
1/2/2025,3:00,Thursday,449,26,5.47%,475,GWB,No,Low
1/2/2025,1:00,Thursday,405,29,6.68%,434,GWB,No,Low
1/2/2025,2:00,Thursday,299,15,4.78%,314,Holland,No,Low
1/2/2025,5:00,Thursday,222,9,3.90%,231,Bayonne,No,Low
1/2/2025,2:00,Thursday,321,29,8.29%,350,GWB,No,Low
1/2/2025,21:00,Thursday,273,20,6.83%,293,Bayonne,No,Low
1/2/2025,22:00,Thursday,235,11,4.47%,246,Bayonne,No,Low
1/2/2025,23:00,Thursday,156,9,5.45%,165,Bayonne,No,Low
1/2/2025,4:00,Thursday,78,6,7.14%,84,Bayonne,No,Low
1/2/2025,0:00,Thursday,93,12,11.43%,105,Bayonne,No,Low
1/2/2025,2:00,Thursday,44,2,4.35%,46,Bayonne,No,Low
1/2/2025,1:00,Thursday,62,3,4.62%,65,Bayonne,No,Low
1/2/2025,3:00,Thursday,46,2,4.17%,48,Bayonne,No,Low
1/3/2025,5:00,Friday,3105,105,3.27%,3210,GWB,No,High
1/3/2025,6:00,Friday,3965,135,3.29%,4100,GWB,Yes,High
1/3/2025,7:00,Friday,3528,140,3.82%,3668,GWB,Yes,High
1/3/2025,9:00,Friday,3548,129,3.51%,3677,GWB,Yes,High
1/3/2025,8:00,Friday,3463,106,2.97%,3569,GWB,Yes,High
1/3/2025,10:00,Friday,3427,131,3.68%,3558,GWB,Yes,High
1/3/2025,4:00,Friday,1565,51,3.16%,1616,GWB,No,High
1/3/2025,11:00,Friday,3525,115,3.16%,3640,GWB,No,High
1/3/2025,12:00,Friday,3792,156,3.95%,3948,GWB,No,High
1/3/2025,13:00,Friday,4037,131,3.14%,4168,GWB,No,High
1/3/2025,15:00,Friday,4101,163,3.82%,4264,GWB,No,High
1/3/2025,18:00,Friday,3940,182,4.42%,4122,GWB,Yes,High
